"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","oauth_application_id","captive_cultivated"
"Strymon melinus","2017-10-21 14:19:00 -0400","","Byron, London, ON, Canada",42.9487611623,-81.3492912054,"","Gray Hairstreak","https://www.inaturalist.org/observations/8493678","https://static.inaturalist.org/photos/11329543/medium.jpeg?1508614513","woodswoman",8493678,"Gray Hairstreak","Insecta",50931,"false",2,0,"2017/10/21 2:19 PM EDT","2017-10-21","2017-10-21 18:19:00 UTC","Eastern Time (US & Canada)",8,NA,NA,"false","","",NA,432808,"2017-10-21 19:36:03 UTC","2017-10-22 15:56:51 UTC","research","CC-BY-NC",NA,"false"
"Strymon melinus","2017-10-21 12:18:23 -0700","","Virginia Country Club, Long Beach, CA, US",33.8394727931,-118.1960095559,"","Gray Hairstreak","https://www.inaturalist.org/observations/8493438","https://static.inaturalist.org/photos/11329158/medium.jpg?1508613614","bequeen",8493438,"Gray Hairstreak","Insecta",50931,"false",2,0,"Sat Oct 21 2017 12:18:23 GMT-0700 (PDT)","2017-10-21","2017-10-21 19:18:23 UTC","Pacific Time (US & Canada)",10,NA,NA,"false","","",NA,622831,"2017-10-21 19:18:28 UTC","2017-10-22 07:44:34 UTC","research","CC-BY-NC",3,"false"
"Strymon melinus","2017-10-19 14:05:00 -0500","","El Tivoli Place, Dallas, TX 75211, USA",32.7516363,-96.8659262,"","Gray Hairstreak","https://www.inaturalist.org/observations/8482293","https://static.inaturalist.org/photos/11311662/medium.jpeg?1508537312","tadamcochran",8482293,"Gray Hairstreak","Insecta",50931,"false",1,0,"2017/10/19 2:05 PM CDT","2017-10-19","2017-10-19 19:05:00 UTC","Central Time (US & Canada)",597,NA,NA,"false","","",NA,13118,"2017-10-20 22:10:19 UTC","2017-10-20 22:18:55 UTC","research","CC-BY-NC",NA,"false"
"Strymon melinus","2017-10-20 16:02:50 -0500","","2501-2505 Lazy Lake Dr, Harlingen, TX 78550, USA",26.1786117554,-97.6600036621,"","Gray Hairstreak","https://www.inaturalist.org/observations/8481693","https://static.inaturalist.org/photos/11310838/medium.jpeg?1508534587","thenehan",8481693,"Gray Hairstreak","Insecta",50931,"false",3,0,"2017-10-20 4:02:50 PM CDT","2017-10-20","2017-10-20 21:02:50 UTC","Central Time (US & Canada)",NA,NA,NA,"false","gps","gps",NA,168308,"2017-10-20 21:23:04 UTC","2017-10-21 15:44:24 UTC","research","CC-BY-NC",2,"false"
"Strymon melinus","2017-10-18 11:16:00 -0500","","Farmers Branch, TX, USA",32.9289183333,-96.8541166667,"","Gray Hairstreak","https://www.inaturalist.org/observations/8480953","https://static.inaturalist.org/photos/11309600/medium.jpeg?1508529836","cameralenswrangler",8480953,"Gray Hairstreak","Insecta",50931,"false",1,0,"2017/10/18 11:16 AM CDT","2017-10-18","2017-10-18 16:16:00 UTC","Central Time (US & Canada)",2,NA,NA,"false","","",NA,448213,"2017-10-20 20:04:55 UTC","2017-10-20 22:04:36 UTC","research","CC-BY-NC",NA,"false"
"Strymon melinus","2017-10-03 11:07:13 -0700","","Los Angeles, California, United States",-57.515823,-47.109375,"","Gray Hairstreak","https://www.inaturalist.org/observations/8477714","https://static.inaturalist.org/photos/11304525/medium.jpeg?1508510806","mickeyb",8477714,"Gray Hairstreak","Insecta",50931,"false",1,0,"2017-10-03 11:07:13","2017-10-03","2017-10-03 18:07:13 UTC","Pacific Time (US & Canada)",1148532,NA,NA,"false","","",NA,598570,"2017-10-20 14:46:48 UTC","2017-10-20 14:53:31 UTC","research","CC-BY-NC",NA,"false"
"Strymon melinus","2017-10-20 10:15:00 -0400","","20 Damon Rd, Hartland, VT 05048, USA",43.59333,-72.452515,"","Gray Hairstreak","https://www.inaturalist.org/observations/8477161","https://static.inaturalist.org/photos/11303627/medium.jpeg?1508507492","anderegg",8477161,"Gray Hairstreak","Insecta",50931,"false",2,0,"2017/10/20 10:15 AM EDT","2017-10-20","2017-10-20 14:15:00 UTC","Eastern Time (US & Canada)",185,NA,NA,"false","","",NA,12154,"2017-10-20 13:52:12 UTC","2017-10-21 09:19:49 UTC","research","",NA,"false"
"Strymon melinus","2017-10-19 10:50:00 -0700","","7376 Wolfsen Rd, Los Banos, CA 93635, USA",37.2326699,-120.8383932,"","Gray Hairstreak","https://www.inaturalist.org/observations/8474577","https://static.inaturalist.org/photos/11299562/medium.jpg?1508474866","anudibranchmom",8474577,"Gray Hairstreak","Insecta",50931,"false",1,0,"2017/10/19 10:50 AM PDT","2017-10-19","2017-10-19 17:50:00 UTC","Pacific Time (US & Canada)",191,NA,NA,"false","","",NA,26610,"2017-10-20 04:51:53 UTC","2017-10-20 13:14:30 UTC","research","CC-BY-NC",NA,"false"
"Strymon melinus","2017-10-19 14:00:00 -0500","","Elizabeth Ct, Barling, AR 72923, USA",35.3349543,-94.2971119,"","Gray Hairstreak","https://www.inaturalist.org/observations/8474077","https://static.inaturalist.org/photos/11298888/medium.jpg?1508471264","arbutterflynut",8474077,"Gray Hairstreak","Insecta",50931,"false",2,0,"2017/10/19 2:00 PM CDT","2017-10-19","2017-10-19 19:00:00 UTC","Central Time (US & Canada)",193,NA,NA,"false","","",NA,399516,"2017-10-20 03:48:02 UTC","2017-10-21 05:49:11 UTC","research","CC-BY-NC",NA,"false"
"Strymon melinus","2017-10-19 13:47:00 -0500","","Elizabeth Ct, Barling, AR 72923, USA",35.3349543,-94.2971119,"","Gray Hairstreak","https://www.inaturalist.org/observations/8474062","https://static.inaturalist.org/photos/11298858/medium.jpg?1508471107","arbutterflynut",8474062,"Gray Hairstreak","Insecta",50931,"false",2,0,"2017/10/19 1:47 PM CDT","2017-10-19","2017-10-19 18:47:00 UTC","Central Time (US & Canada)",193,NA,NA,"false","","",NA,399516,"2017-10-20 03:45:36 UTC","2017-10-21 05:49:24 UTC","research","CC-BY-NC",NA,"false"
